traj_id,head_xyz_final,head_rpy_final_deg,hand_xyz_final,hand_rpy_final_deg,min_head_goal_dist,min_hand_goal_dist,final_head_goal_dist,final_hand_goal_dist,vis_frac_head,vis_frac_hand,longest_invis_gap_head,longest_invis_gap_hand,t_since_view_to_grasp_h,t_since_view_to_grasp_d,grasp_success_step,overall_success,traj_length
/traj_0,[-1.77244747  1.53012645 -0.33782932],[-145.0247176    57.14184418  129.78750266],[-2.23446012  0.12683484  1.33877695],[-158.01523095   11.40500922  163.21152133],2.3657948970794678,2.5028460025787354,2.3657948970794678,2.6079154014587402,1.0,1.0,0,0,-186,-186,14,True,201
/traj_1,[-1.86144841  1.44258201 -0.19040245],[-141.68222699   55.49650241  133.79930635],[-1.98125839  0.17743596  1.64350796],[-154.31450558    4.53900036  161.18275799],2.359931230545044,2.5059757232666016,2.3626861572265625,2.5803074836730957,1.0,1.0,0,0,-187,-187,13,True,201
/traj_10,[-1.61420584  1.6095922  -0.4578028 ],[-155.13220908   60.65274703  118.00147285],[-2.33590412  0.04472733  1.050699  ],[-169.8740959    15.16237943  157.18023095],2.325087308883667,2.4729373455047607,2.325087308883667,2.5617215633392334,1.0,1.0,0,0,-185,-185,15,True,201
/traj_100,[-1.50761151  1.68034542 -0.52685404],[-166.15852778   59.89656528  105.89723178],[-2.10446477  0.90784711  1.27828777],[-160.20932814   12.90851348  139.80150752],2.2582144737243652,2.240186929702759,2.318195104598999,2.624305248260498,1.0,1.0,0,0,-185,-185,15,True,201
/traj_101,[1.11438775 0.85483325 1.11610246],[119.56614127  -9.16428981  -5.16273   ],[1.26067865 0.90313369 0.97843391],[169.43588598  17.70348344  23.06895572],1.7281129360198975,1.6870099306106567,1.7939578294754028,1.8336559534072876,1.0,0.9154228855721394,0,172,-181,-181,19,True,201
/traj_102,[0.99702084 1.19062698 0.49047944],[119.78206682  11.38360561   6.44462888],[0.87262356 1.3605572  0.84654295],[175.53001269  23.85349149  41.20262815],1.4401792287826538,1.732545018196106,1.6285617351531982,1.8246158361434937,1.0,0.8009950248756219,0,153,-160,-160,40,False,201
/traj_103,[-1.25342858  1.61976779 -0.31628978],[-131.74458567   42.98038312  148.68503158],[-1.83899295  0.54885125  1.37084854],[-161.57806018   -0.53374629  176.69817984],1.9078876972198486,1.727707862854004,2.072382688522339,2.3584651947021484,1.0,0.9303482587064676,0,173,-178,-178,22,True,201
/traj_104,[-1.63762796  1.62106323 -0.34024984],[-152.87599092   56.8186275   121.46892096],[-2.12996912  0.30948403  1.44820297],[-157.82288106    8.67229509  158.95971339],2.3251047134399414,2.4699008464813232,2.3292577266693115,2.594193696975708,1.0,1.0,0,0,-180,-180,20,False,201
/traj_105,[0.89597821 0.33895004 1.96762633],[121.28549771 -20.26572635 -11.88607079],[1.53781092 0.19025221 1.32976711],[163.18575598   8.91964232  15.87307186],1.9103975296020508,1.8159946203231812,2.1884281635284424,2.041895866394043,1.0,0.8905472636815921,0,166,-175,-175,25,False,201
/traj_106,[ 0.75687772  1.4783448  -0.09599569],[135.86623484  47.27327335  37.13129652],[-0.10584316  1.75860918  0.94679475],[-169.59784193   14.93977349  102.33013226],1.5748296976089478,1.8381057977676392,1.6636052131652832,2.00008225440979,1.0,0.8706467661691543,0,168,-177,-177,23,True,201
/traj_107,[-1.10739529  1.87330306 -0.78700292],[175.86384466  60.77932126  85.26333971],[-2.11678123  0.96491516  1.26778567],[-165.55636107   10.51274957  136.98509657],2.3006935119628906,2.4955496788024902,2.3140790462493896,2.6493594646453857,1.0,1.0,0,0,-188,-188,12,True,201
/traj_108,[1.29308987 1.29908168 0.33741158],[120.64114438  17.11927982   9.89124681],[0.77748591 1.65123451 0.99742824],[-178.43021365   14.49315292   57.80174929],1.5916557312011719,1.7426100969314575,1.863743782043457,2.079885244369507,1.0,0.6517412935323383,0,123,-129,-129,71,True,201
/traj_109,[0.98563743 0.6231007  1.58398652],[120.98114808 -18.92681575 -11.02042342],[1.48950362 0.2361179  1.08040404],[171.0088817   15.43077925   9.48260789],1.9483815431594849,1.765639066696167,1.9669135808944702,1.855167269706726,1.0,0.900497512437811,0,174,-184,-184,16,True,201
